emp_no,first_name,last_name,birth_date,from_date,to_date,title
10843,Honesty,Smeets,1961-09-05,1990-04-26,9999-01-01,Engineer
10863,Byong,Bhattacharjee,1962-08-05,1985-12-25,9999-01-01,Senior Engineer
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10880,Weiye,Nitsche,1962-02-11,1992-01-11,9999-01-01,Senior Engineer
10890,Ramzi,Furudate,1963-04-13,1990-03-10,9999-01-01,Senior Staff
10893,Danil,Kropatsch,1960-01-30,1989-08-23,9999-01-01,Senior Staff
10899,Valery,Rousseau,1962-05-11,1990-04-05,9999-01-01,Senior Staff
10907,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Senior Staff
10908,Rajmohan,Koblick,1961-11-27,1986-04-05,9999-01-01,Senior Staff
10925,Heng,Waterhouse,1960-02-13,1991-06-11,9999-01-01,Technique Leader
10928,Udaiprakash,Schmezko,1961-11-01,1991-04-07,9999-01-01,Senior Staff
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,Engineer
10951,Marco,Iisaku,1962-01-20,1989-07-06,9999-01-01,Staff
10957,Duke,Schnabel,1961-06-06,1990-10-01,9999-01-01,Senior Staff
10964,Takushi,Bolsens,1962-04-02,1991-05-05,9999-01-01,Staff
10968,Lakshmi,Kolinko,1961-03-19,1985-08-11,9999-01-01,Senior Staff
10972,Fumiko,Asser,1961-10-05,1987-06-06,9999-01-01,Senior Engineer
10973,Valdiodio,Raczkowsky,1961-10-02,1989-03-05,9999-01-01,Senior Engineer
10978,Huiqun,Bellone,1962-09-24,1985-05-18,9999-01-01,Senior Engineer
10980,Filipp,Munawer,1963-11-10,1989-01-04,9999-01-01,Senior Engineer
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
10983,Somnath,Parascandalo,1961-08-09,1988-02-22,9999-01-01,Senior Engineer
11003,Mariangiola,Gulla,1960-11-13,1987-05-24,9999-01-01,Assistant Engineer
11010,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Staff
11023,Yifei,Driscoll,1964-01-08,1990-06-12,9999-01-01,Staff
11036,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Staff
11040,Cristinel,Denna,1961-11-07,1988-01-22,9999-01-01,Senior Staff
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11059,Shawna,Jarecki,1962-05-26,1986-11-17,9999-01-01,Engineer
11067,Vatsa,Rousseau,1960-05-01,1992-02-23,9999-01-01,Assistant Engineer
11103,Sanjai,Penttonen,1960-12-10,1989-03-15,9999-01-01,Senior Engineer
11108,Danae,Grabner,1962-04-15,1992-06-12,9999-01-01,Senior Staff
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11124,Gladys,Porenta,1963-07-12,1990-04-16,9999-01-01,Senior Staff
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11159,Becky,Schlenzig,1960-05-28,1992-05-12,9999-01-01,Senior Staff
11164,Alain,Limongiello,1961-01-18,1989-12-25,9999-01-01,Senior Staff
11183,Herbert,Serdy,1960-06-26,1990-12-28,9999-01-01,Engineer
11191,Pradeep,Crooks,1963-10-20,1991-12-14,9999-01-01,Senior Staff
11198,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Senior Staff
11212,Teruyuki,Peternell,1961-08-10,1985-10-16,9999-01-01,Senior Staff
11226,Margareta,Akiyama,1961-05-18,1989-05-09,9999-01-01,Senior Staff
11234,Tooru,Vingron,1961-06-17,1990-08-21,9999-01-01,Senior Engineer
11259,Amalendu,Gronowski,1960-01-13,1986-12-26,9999-01-01,Senior Staff
11261,Claudi,Demri,1963-09-05,1987-12-06,9999-01-01,Engineer
11263,Kwangjo,Fiebach,1961-09-09,1989-08-15,9999-01-01,Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11270,Gina,Falster,1962-10-10,1989-09-04,9999-01-01,Staff
11273,Make,Guting,1961-09-12,1987-10-07,9999-01-01,Senior Staff
11279,Masanao,Ranft,1960-12-05,1991-02-05,9999-01-01,Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11284,Bernice,Felcyn,1961-03-25,1985-04-25,9999-01-01,Engineer
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Staff
11287,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11299,Christfried,Tokunaga,1961-02-06,1989-11-24,9999-01-01,Engineer
11305,Augustine,Schwabacher,1960-12-22,1990-01-16,9999-01-01,Staff
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11333,Heon,Slobodova,1960-06-19,1988-02-14,9999-01-01,Assistant Engineer
11346,Jungsoon,Fiebach,1962-04-25,1992-06-11,9999-01-01,Senior Staff
11348,Vishu,Kroll,1962-04-26,1991-10-02,9999-01-01,Senior Staff
11352,Toney,Terekhov,1961-09-26,1992-02-10,9999-01-01,Engineer
11353,Utpal,Berztiss,1960-01-30,1987-11-09,9999-01-01,Senior Staff
11362,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Senior Engineer
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Senior Staff
11375,Dmitri,Noriega,1960-08-13,1985-05-27,9999-01-01,Senior Staff
11377,Dayanand,Rosti,1960-01-26,1991-10-18,9999-01-01,Staff
11382,Akemi,Otillio,1962-04-04,1991-06-04,9999-01-01,Engineer
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Staff
11407,Thanasis,Thebaut,1962-01-11,1991-05-06,9999-01-01,Staff
11411,Shigehito,Giaccio,1962-04-06,1992-05-17,9999-01-01,Senior Staff
11413,Yannik,Murillo,1961-06-09,1991-01-24,9999-01-01,Senior Staff
11424,Lein,Sudkamp,1963-04-07,1991-02-14,9999-01-01,Staff
11435,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Senior Staff
11443,Szabolcs,Nivat,1962-05-30,1989-08-15,9999-01-01,Senior Staff
11444,Sangeeta,Leuchs,1963-11-17,1992-01-01,9999-01-01,Senior Engineer
11447,Rasiah,Billawala,1961-07-23,1985-09-18,9999-01-01,Senior Engineer
11453,Fei,Lakshmanan,1962-11-18,1990-07-13,9999-01-01,Technique Leader
11464,Boutros,Simkin,1962-10-22,1992-05-30,9999-01-01,Assistant Engineer
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,Engineer
11472,Constantino,Ghandeharizadeh,1961-04-18,1990-04-30,9999-01-01,Staff
11482,Uri,Deverell,1964-10-16,1991-04-03,9999-01-01,Staff
11486,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Senior Staff
11488,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Engineer
11489,Sandeepan,Yeung,1962-11-12,1991-03-24,9999-01-01,Senior Staff
11491,Maha,Matteis,1960-12-13,1988-11-08,9999-01-01,Engineer
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Senior Staff
11496,Toshimo,Marakhovsky,1963-08-20,1992-07-09,9999-01-01,Engineer
11500,Ranan,Weedon,1960-11-06,1991-05-07,9999-01-01,Senior Engineer
11504,Saeed,Ananiadou,1962-06-16,1990-09-30,9999-01-01,Senior Engineer
11512,Nidapan,Hagimont,1962-09-24,1987-09-01,9999-01-01,Engineer
11514,Georgy,Iwayama,1963-08-17,1990-05-14,9999-01-01,Engineer
11542,Maia,Kawashima,1960-05-11,1985-06-20,9999-01-01,Senior Staff
11545,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Staff
11547,Kyoichi,Flexer,1960-03-30,1991-01-18,9999-01-01,Staff
11551,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11559,Jaihie,Nollmann,1961-06-08,1990-12-17,9999-01-01,Senior Engineer
11561,Akeno,McAffer,1960-02-25,1989-12-26,9999-01-01,Senior Staff
11565,Yoshinari,Sankaranarayanan,1963-09-02,1988-02-03,9999-01-01,Engineer
11570,Mayumi,Uchoa,1960-08-12,1988-10-07,9999-01-01,Staff
11591,Kiyomitsu,Lindqvist,1961-10-03,1987-10-18,9999-01-01,Staff
11604,Deborah,Baar,1962-07-11,1990-12-11,9999-01-01,Senior Engineer
11608,Jagoda,Jonsson,1961-04-17,1987-04-19,9999-01-01,Technique Leader
11610,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Senior Engineer
11612,Siamak,Baar,1962-01-15,1990-12-10,9999-01-01,Engineer
11622,Moon,Ginneken,1962-10-14,1992-05-11,9999-01-01,Engineer
11623,Becky,Jullig,1964-03-18,1990-03-05,9999-01-01,Engineer
11631,Kristin,Malinowski,1960-11-18,1992-04-14,9999-01-01,Staff
11635,Nalini,Mahnke,1964-07-13,1989-10-13,9999-01-01,Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Engineer
11655,Gift,Broomell,1963-10-28,1991-09-23,9999-01-01,Senior Engineer
11662,Mokhtar,Hofting,1963-04-25,1991-02-16,9999-01-01,Staff
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11679,Bedrich,Denna,1960-12-23,1991-01-02,9999-01-01,Senior Engineer
11682,Dante,Zumaque,1963-03-13,1986-11-27,9999-01-01,Senior Staff
11687,Owen,Peak,1963-02-28,1992-03-22,9999-01-01,Senior Engineer
11694,Stamatina,Ozery,1962-08-26,1989-03-31,9999-01-01,Staff
11716,Anneli,Leijenhorst,1962-01-24,1989-05-09,9999-01-01,Engineer
11721,Xuejun,Heydon,1961-02-22,1990-11-30,9999-01-01,Senior Engineer
11726,Eldridge,Reghbati,1960-04-18,1990-05-29,9999-01-01,Senior Staff
11727,Baziley,Felcyn,1961-12-12,1992-03-07,9999-01-01,Staff
11728,Serge,Makrucki,1961-09-29,1989-12-12,9999-01-01,Staff
11740,Isaac,Pero,1962-05-21,1990-01-19,9999-01-01,Staff
11741,Valeri,Vigier,1962-05-27,1989-02-04,9999-01-01,Senior Staff
11753,Fayez,Nishimukai,1963-12-07,1991-05-01,9999-01-01,Senior Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,Staff
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Engineer
11767,Ortrud,Kusakabe,1960-01-24,1986-12-19,9999-01-01,Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,Engineer
11773,Naftaly,Lorys,1961-12-31,1990-05-29,9999-01-01,Senior Staff
11775,Sajjad,Xiaoshan,1963-06-16,1988-11-15,9999-01-01,Senior Engineer
11782,Tesuro,Lanzelotte,1962-04-02,1991-02-01,9999-01-01,Technique Leader
11789,Udi,Khasidashvili,1962-05-12,1989-08-18,9999-01-01,Staff
11790,Huai,Henseler,1960-06-12,1988-03-09,9999-01-01,Senior Engineer
11795,Herbert,Erman,1960-12-15,1992-03-24,9999-01-01,Senior Engineer
11796,Sachem,Egerstedt,1963-05-24,1989-01-23,9999-01-01,Staff
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Staff
11808,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Senior Engineer
11816,Masako,Besselaar,1964-04-26,1991-08-05,9999-01-01,Staff
11818,Dmitry,Matteis,1960-07-08,1987-08-14,9999-01-01,Senior Engineer
11825,Theirry,Kuzuoka,1961-12-12,1987-05-02,9999-01-01,Senior Engineer
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Engineer
11835,Arnould,Hofman,1961-09-13,1992-01-15,9999-01-01,Engineer
11839,Navid,Falck,1962-10-24,1990-12-14,9999-01-01,Engineer
11840,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Senior Staff
11850,Bikash,Maginnis,1964-10-23,1991-02-10,9999-01-01,Staff
11851,Suvo,Copas,1961-12-28,1992-03-31,9999-01-01,Senior Staff
11855,Hilari,Janetzko,1960-07-15,1992-07-20,9999-01-01,Senior Engineer
11856,Gao,Alpin,1962-12-18,1989-05-23,9999-01-01,Engineer
11861,Vincent,Claffy,1962-03-12,1990-05-28,9999-01-01,Engineer
11863,Stella,Peng,1962-07-03,1988-12-16,9999-01-01,Senior Engineer
11878,Oldrich,Henders,1960-10-06,1990-03-20,9999-01-01,Assistant Engineer
11900,Tse,Ermel,1961-04-06,1990-05-26,9999-01-01,Technique Leader
11903,Aiichiro,Vilarrasa,1961-01-02,1990-12-09,9999-01-01,Engineer
11958,KayLiang,Leivant,1960-09-10,1991-10-13,9999-01-01,Senior Staff
11960,Moss,Flasterstein,1960-01-15,1988-07-28,9999-01-01,Senior Staff
11966,Poornachandra,Rotem,1960-10-22,1987-01-20,9999-01-01,Senior Staff
11974,Vojin,Sabnani,1963-10-13,1989-07-23,9999-01-01,Senior Staff
11976,Jacqueline,Barvinok,1960-01-11,1986-10-08,9999-01-01,Engineer
11981,LiMin,Horswill,1964-04-11,1990-09-14,9999-01-01,Senior Engineer
11986,Reinhard,Azuma,1963-01-12,1991-08-06,9999-01-01,Senior Staff
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
11991,Qunsheng,Esteva,1961-10-15,1985-09-29,9999-01-01,Staff
12013,Baziley,Vidya,1960-09-09,1990-08-06,9999-01-01,Staff
12014,Apostol,Lunt,1962-04-30,1988-10-11,9999-01-01,Senior Engineer
12019,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Staff
12027,Zhanqiu,Vuskovic,1962-07-31,1992-01-05,9999-01-01,Technique Leader
12031,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12045,Mototsugu,Boguraev,1962-02-03,1991-03-03,9999-01-01,Engineer
12056,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
12057,Vishv,Speckmann,1962-08-14,1990-09-22,9999-01-01,Senior Staff
12058,Qunsheng,Khamsi,1964-02-18,1991-08-06,9999-01-01,Engineer
12061,Anneke,Mellouli,1960-05-15,1988-04-14,9999-01-01,Staff
12064,Heping,Silva,1962-01-22,1986-03-14,9999-01-01,Assistant Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Engineer
12066,Junichi,Deville,1963-06-01,1985-09-20,9999-01-01,Staff
12067,Doowon,Kalsbeek,1962-04-19,1991-12-17,9999-01-01,Staff
12072,Rosalie,Larfeldt,1963-03-13,1990-12-17,9999-01-01,Senior Engineer
12079,Michaela,Suwa,1960-08-16,1985-12-09,9999-01-01,Staff
12083,Irena,Quadeer,1960-08-17,1990-10-16,9999-01-01,Staff
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12115,Moni,Candan,1961-06-24,1985-03-19,9999-01-01,Engineer
12121,Gadiel,Vendrig,1963-05-13,1990-06-04,9999-01-01,Senior Engineer
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,Senior Staff
12127,Rosalie,Rijckaert,1960-06-13,1989-01-22,9999-01-01,Staff
12131,Gregory,Fandrianto,1961-02-27,1986-10-11,9999-01-01,Senior Engineer
12150,Dekang,Boissier,1963-09-06,1991-06-25,9999-01-01,Engineer
12151,Takahiro,Sigstam,1963-05-30,1990-04-16,9999-01-01,Senior Staff
12154,Aksel,Snedden,1960-07-20,1986-05-24,9999-01-01,Technique Leader
12157,Georgi,Barinka,1960-03-30,1985-06-04,9999-01-01,Senior Staff
12180,Heejo,Ruemmler,1961-10-03,1990-02-05,9999-01-01,Senior Engineer
12184,Chenxi,Zhang,1961-06-19,1987-01-11,9999-01-01,Senior Staff
12193,Lucian,Oxman,1963-09-18,1989-08-10,9999-01-01,Senior Staff
12199,Huan,Poupard,1962-11-04,1985-06-22,9999-01-01,Staff
12244,Annemarie,Harllee,1960-02-01,1988-01-13,9999-01-01,Senior Staff
12246,Gill,Rehfuss,1964-01-17,1990-01-26,9999-01-01,Senior Staff
12251,Iara,Hiraishi,1960-07-03,1985-07-20,9999-01-01,Senior Engineer
12277,Oldrich,Peot,1960-06-26,1990-05-15,9999-01-01,Engineer
12285,Stepehn,Erman,1964-12-30,1991-02-21,9999-01-01,Engineer
12292,Wuxu,Farrar,1963-07-02,1989-01-05,9999-01-01,Engineer
12300,Mohamadou,Chelton,1960-04-05,1990-05-16,9999-01-01,Senior Engineer
12302,Matt,Plessier,1962-02-14,1987-01-28,9999-01-01,Senior Staff
12306,Suvo,Menyhert,1960-12-09,1986-05-18,9999-01-01,Senior Staff
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Engineer
12310,Chandrasekaran,Pettit,1964-08-04,1990-12-21,9999-01-01,Engineer
12313,Tsutomu,Narahari,1961-01-16,1986-10-21,9999-01-01,Engineer
12314,Remko,Kabayashi,1961-12-28,1991-04-20,9999-01-01,Staff
12315,Haldun,Binding,1963-01-13,1989-08-31,9999-01-01,Senior Staff
